120 7140
1 2 114
2 2 115
2 2 116
2 2 117
1 2 118
2 2 119
1 2 120
2 3 4
2 3 5
2 3 6
1 3 7
2 3 8
1 3 9
2 3 10
2 3 11
2 3 12
2 3 13
1 3 14
1 3 15
2 3 16
1 3 17
1 3 18
2 3 19
2 3 20
1 3 21
1 3 22
2 3 23
1 3 24
2 3 25
1 3 26
2 3 27
2 3 28
1 3 29
1 3 30
1 3 31
1 3 32
2 3 33
1 3 34
2 3 35
2 3 36
1 3 37
1 3 38
1 3 39
1 3 40
1 3 41
2 3 42
2 3 43
1 3 44
1 3 45
1 3 46
2 3 47
1 3 48
2 3 49
2 3 50
1 3 51
2 3 52
2 3 53
1 3 54
1 3 55
2 3 56
1 3 57
1 3 58
2 3 59
2 3 60
2 3 61
2 3 62
2 3 63
1 3 64
1 3 65
2 3 66
2 3 67
2 3 68
2 3 69
1 3 70
2 3 71
2 3 72
1 3 73
2 3 75
2 3 76
1 3 77
1 3 78
2 3 79
2 3 80
1 3 81
2 3 82
1 3 83
1 3 84
1 3 85
2 3 86
1 3 87
1 3 88
2 3 89
1 3 90
1 3 91
1 3 92
2 3 93
2 3 94
1 3 95
2 3 96
2 3 97
2 3 98
2 3 99
1 3 100
2 3 101
2 3 103
2 3 104
2 3 105
2 3 106
1 3 107
2 3 108
1 3 109
1 3 110
2 3 111
1 3 112
1 3 113
2 3 114
1 3 115
1 3 116
2 3 117
1 3 118
1 3 119
2 3 120
2 4 5
1 4 6
1 4 7
1 4 8
2 4 9
1 4 10
1 4 11
2 4 12
1 4 13
2 4 14
1 4 15
2 4 16
2 4 17
2 4 18
1 4 19
2 4 20
2 4 21
2 4 22
1 4 23
1 4 24
2 4 25
1 4 26
1 4 27
2 4 28
2 4 29
2 4 30
1 4 31
2 4 32
2 4 33
2 4 34
2 4 35
1 4 36
2 4 37
2 4 38
2 4 39
2 4 40
1 4 41
2 4 42
2 4 43
2 4 44
1 4 45
2 4 46
1 4 47
2 4 48
1 4 49
2 4 50
1 4 51
2 4 52
2 4 53
2 4 54
2 4 55
1 4 56
1 4 57
1 4 58
1 4 59
1 4 60
1 4 61
1 4 62
1 4 63
1 4 64
1 4 65
2 4 66
1 4 67
2 4 68
1 4 69
1 4 70
1 4 71
1 4 72
1 4 73
2 4 74
1 4 76
1 4 78
2 4 79
1 4 80
1 4 81
1 4 82
1 4 83
1 4 84
1 4 85
2 4 86
2 4 87
2 4 88
2 4 89
1 4 90
2 4 91
2 4 92
2 4 93
1 4 94
1 4 95
2 4 96
2 4 97
2 4 98
2 4 99
2 4 100
2 4 101
2 4 102
2 4 103
2 4 104
2 4 105
1 4 106
2 4 107
2 4 108
2 4 109
1 4 110
2 4 111
2 4 112
2 4 113
1 4 114
2 4 115
1 4 116
1 4 117
1 4 118
2 4 119
1 4 120
2 5 6
1 5 7
1 5 8
1 5 10
1 5 11
1 5 12
1 5 13
2 5 14
2 5 15
1 5 16
2 5 17
2 5 18
2 5 19
1 5 20
2 5 21
1 5 22
1 5 23
1 5 24
1 5 25
2 5 26
1 5 27
2 5 28
2 5 29
1 5 30
2 5 31
2 5 32
2 5 33
1 5 34
2 5 35
1 5 36
2 5 37
1 5 38
2 5 39
1 5 40
2 5 41
1 5 42
1 5 43
1 5 44
2 5 45
1 5 46
1 5 47
2 5 48
2 5 49
1 5 50
1 5 51
2 5 52
1 5 54
2 5 55
2 5 56
2 5 57
2 5 58
2 5 59
1 5 60
2 5 61
2 5 62
2 5 63
1 5 64
2 5 65
1 5 66
1 5 67
1 5 68
2 5 69
1 5 70
1 5 71
2 5 72
2 5 73
1 5 74
1 5 75
2 5 76
2 5 77
1 5 78
2 5 79
1 5 80
2 5 81
2 5 82
1 5 83
1 5 84
2 5 85
1 5 86
1 5 87
1 5 88
1 5 89
2 5 90
1 5 91
2 5 92
1 5 93
1 5 94
2 5 95
1 5 96
1 5 97
1 5 98
2 5 99
2 5 100
1 5 101
2 5 102
2 5 103
2 5 104
2 5 105
1 5 106
2 5 107
1 5 108
2 5 109
2 5 110
2 5 111
1 5 112
1 5 113
2 5 114
1 5 115
1 5 116
2 5 117
2 5 118
2 5 119
2 5 120
1 6 7
2 6 8
1 6 9
2 6 10
1 6 11
2 6 12
2 6 13
1 6 14
1 6 15
1 6 16
2 6 17
2 6 18
2 6 19
1 6 20
1 6 21
2 6 22
2 6 23
1 6 24
2 6 26
2 6 27
2 6 28
1 6 29
2 6 30
1 6 31
1 6 32
1 6 33
2 6 34
2 6 35
1 6 36
1 6 37
2 6 38
1 6 39
1 6 40
2 6 41
2 6 42
1 6 43
2 6 44
1 6 45
2 6 46
1 6 47
1 6 48
2 6 49
2 6 50
2 6 51
2 6 52
2 6 53
1 6 54
2 6 55
1 6 56
1 6 57
2 6 58
2 6 59
2 6 60
2 6 61
1 6 62
1 6 63
1 6 64
2 6 65
2 6 66
2 6 67
2 6 68
2 6 69
1 6 70
2 6 71
2 6 72
2 6 73
2 6 74
2 6 75
1 6 76
2 6 77
1 6 78
2 6 79
2 6 80
1 6 81
1 6 82
1 6 83
2 6 84
2 6 85
1 6 86
2 6 87
2 6 88
2 6 89
2 6 90
2 6 91
2 6 92
2 6 93
2 6 94
1 6 95
2 6 96
2 6 97
1 6 98
2 6 100
2 6 101
2 6 102
2 6 103
1 6 104
1 6 105
2 6 106
1 6 107
2 6 108
1 6 109
1 6 110
1 6 111
1 6 112
2 6 113
2 6 114
1 6 115
2 6 116
1 6 117
1 6 118
2 6 119
1 6 120
2 7 8
2 7 9
2 7 10
2 7 11
2 7 12
2 7 13
2 7 14
2 7 15
2 7 16
1 7 17
1 7 18
2 7 19
2 7 20
2 7 21
2 7 22
2 7 23
1 7 24
2 7 25
2 7 26
1 7 27
1 7 28
1 7 29
1 7 30
1 7 31
2 7 32
2 7 33
1 7 34
2 7 35
1 7 36
1 7 37
1 7 38
1 7 39
2 7 40
1 7 41
2 7 42
1 7 43
2 7 44
2 7 45
1 7 46
1 7 47
2 7 48
1 7 49
2 7 50
2 7 51
1 7 52
1 7 53
1 7 54
1 7 56
2 7 57
2 7 58
1 7 59
1 7 60
2 7 61
2 7 62
1 7 63
2 7 64
1 7 65
2 7 66
1 7 67
1 7 68
1 7 69
1 7 70
2 7 71
2 7 72
2 7 73
1 7 74
2 7 75
1 7 76
1 7 77
2 7 79
2 7 80
2 7 81
2 7 82
1 7 83
2 7 84
1 7 85
2 7 86
1 7 87
2 7 88
1 7 89
1 7 90
2 7 91
2 7 92
2 7 93
2 7 94
1 7 95
2 7 96
1 7 97
2 7 98
2 7 99
1 7 100
1 7 101
1 7 102
1 7 103
1 7 104
2 7 105
2 7 106
2 7 107
1 7 108
1 7 109
2 7 110
2 7 111
2 7 112
2 7 113
2 7 114
2 7 115
1 7 116
2 7 117
1 7 118
2 7 119
1 7 120
1 8 9
2 8 10
2 8 11
1 8 12
1 8 13
2 8 14
2 8 15
2 8 16
2 8 17
2 8 18
2 8 19
1 8 20
1 8 21
2 8 22
2 8 24
2 8 25
2 8 26
1 8 27
2 8 28
1 8 29
2 8 30
2 8 31
2 8 32
1 8 33
2 8 34
1 8 35
2 8 36
2 8 37
1 8 38
1 8 39
1 8 40
2 8 41
1 8 42
1 8 43
2 8 44
1 8 45
1 8 46
2 8 47
1 8 48
1 8 49
1 8 50
1 8 51
1 8 52
1 8 53
2 8 54
2 8 55
2 8 56
1 8 57
2 8 58
2 8 59
2 8 60
2 8 61
2 8 62
2 8 63
2 8 64
1 8 65
1 8 66
2 8 67
1 8 68
2 8 69
2 8 70
2 8 71
1 8 72
2 8 73
2 8 74
1 8 75
1 8 76
2 8 77
1 8 78
2 8 79
1 8 80
1 8 81
2 8 82
1 8 83
2 8 84
1 8 85
1 8 86
1 8 87
2 8 88
2 8 89
2 8 90
2 8 91
1 8 92
2 8 93
1 8 94
2 8 95
2 8 96
1 8 97
1 8 98
2 8 99
2 8 100
1 8 101
2 8 102
1 8 103
2 8 104
1 8 105
2 8 106
1 8 108
1 8 109
2 8 110
1 8 111
2 8 112
2 8 113
2 8 114
2 8 115
2 8 116
2 8 117
2 8 118
2 8 119
1 8 120
1 9 10
2 9 11
2 9 12
1 9 13
1 9 14
1 9 15
2 9 16
2 9 17
2 9 18
2 9 19
1 9 20
2 9 21
1 9 22
1 9 23
1 9 24
2 9 25
2 9 26
2 9 27
1 9 28
2 9 29
2 9 30
2 9 31
2 9 32
2 9 33
2 9 34
2 9 35
2 9 36
2 9 37
2 9 38
1 9 39
1 9 40
1 9 41
2 9 42
2 9 43
1 9 44
1 9 45
1 9 46
2 9 47
2 9 48
2 9 49
1 9 50
1 9 51
2 9 52
1 9 53
2 9 54
2 9 55
1 9 56
2 9 57
2 9 58
1 9 59
1 9 60
2 9 61
2 9 62
2 9 63
2 9 64
1 9 65
1 9 66
1 9 67
2 9 68
2 9 69
2 9 70
1 9 72
1 9 73
2 9 74
1 9 75
1 9 76
2 9 77
2 9 78
2 9 79
2 9 80
2 9 81
1 9 82
2 9 83
1 9 84
1 9 85
1 9 86
1 9 87
1 9 88
1 9 89
2 9 90
2 9 91
1 9 92
1 9 93
2 9 94
2 9 95
1 9 96
2 9 97
1 9 98
1 9 99
2 9 100
2 9 101
2 9 102
2 9 103
2 9 104
1 9 105
2 9 106
2 9 107
1 9 108
1 9 109
2 9 110
2 9 111
2 9 112
2 9 113
2 9 114
1 9 115
2 9 116
1 9 117
2 9 118
2 9 119
2 9 120
2 10 11
2 10 12
2 10 13
2 10 14
2 10 15
1 10 16
1 10 17
1 10 18
2 10 19
1 10 20
1 10 21
2 10 22
2 10 23
2 10 24
1 10 25
1 10 26
1 10 27
2 10 28
1 10 29
2 10 30
1 10 31
1 10 32
1 10 33
1 10 34
1 10 35
1 10 36
1 10 37
2 10 39
1 10 40
1 10 41
2 10 42
2 10 43
2 10 44
1 10 45
1 10 46
1 10 47
2 10 48
2 10 49
2 10 50
1 10 51
2 10 52
2 10 53
2 10 54
1 10 55
1 10 56
1 10 57
2 10 58
1 10 59
2 10 60
2 10 61
2 10 62
1 10 63
2 10 64
2 10 65
1 10 66
1 10 67
1 10 68
2 10 69
1 10 70
2 10 71
2 10 72
2 10 74
2 10 75
2 10 76
1 10 77
1 10 78
1 10 79
2 10 80
1 10 81
1 10 82
1 10 83
2 10 84
2 10 85
1 10 86
1 10 87
1 10 88
2 10 89
2 10 90
1 10 91
1 10 92
1 10 93
2 10 94
1 10 95
2 10 96
1 10 97
2 10 98
2 10 99
2 10 100
2 10 101
2 10 102
1 10 103
2 10 104
1 10 105
2 10 106
1 10 107
1 10 108
2 10 109
2 10 110
1 10 111
1 10 112
1 10 113
2 10 114
1 10 115
2 10 116
1 10 117
2 10 118
2 10 119
2 10 120
1 11 12
1 11 13
2 11 14
2 11 15
2 11 16
1 11 17
2 11 18
2 11 19
1 11 20
1 11 21
2 11 22
2 11 23
2 11 24
1 11 25
1 11 26
1 11 27
2 11 28
1 11 29
2 11 30
1 11 31
2 11 32
1 11 33
2 11 34
1 11 35
2 11 36
2 11 37
1 11 38
2 11 39
2 11 40
1 11 41
1 11 42
2 11 43
1 11 44
1 11 45
1 11 46
2 11 47
1 11 48
2 11 49
1 11 50
2 11 51
2 11 52
1 11 53
2 11 54
2 11 55
2 11 56
1 11 57
1 11 59
1 11 60
1 11 61
2 11 62
1 11 63
1 11 64
2 11 65
1 11 66
1 11 67
1 11 68
1 11 69
2 11 70
2 11 71
1 11 72
2 11 73
2 11 74
2 11 75
1 11 76
1 11 77
1 11 78
2 11 79
1 11 80
1 11 81
2 11 82
2 11 83
2 11 84
2 11 85
1 11 87
2 11 88
1 11 89
2 11 90
2 11 91
2 11 92
2 11 93
2 11 94
2 11 95
2 11 96
1 11 97
2 11 98
1 11 99
2 11 100
1 11 101
1 11 102
1 11 103
1 11 104
2 11 105
1 11 106
2 11 107
2 11 108
1 11 109
1 11 110
1 11 111
1 11 112
2 11 113
2 11 114
1 11 115
2 11 116
1 11 117
2 11 118
1 11 119
2 11 120
1 12 13
1 12 14
1 12 15
2 12 16
2 12 17
2 12 18
2 12 19
1 12 20
2 12 21
2 12 22
2 12 23
1 12 24
1 12 25
1 12 26
1 12 27
1 12 28
1 12 29
1 12 30
2 12 31
1 12 32
2 12 33
1 12 34
2 12 36
1 12 37
1 12 38
2 12 39
1 12 40
2 12 41
1 12 42
2 12 43
1 12 44
2 12 45
1 12 47
1 12 48
2 12 49
1 12 50
1 12 51
2 12 52
1 12 53
2 12 54
1 12 55
2 12 56
2 12 57
1 12 58
2 12 59
2 12 60
1 12 61
2 12 62
2 12 63
1 12 64
2 12 65
1 12 66
2 12 67
2 12 68
2 12 69
1 12 70
1 12 71
2 12 72
2 12 73
1 12 74
1 12 75
2 12 76
1 12 77
2 12 78
1 12 79
2 12 80
2 12 81
1 12 82
2 12 83
2 12 84
1 12 85
2 12 86
1 12 87
1 12 88
1 12 89
1 12 90
1 12 91
1 12 92
1 12 93
2 12 94
1 12 95
1 12 96
2 12 97
2 12 98
2 12 99
1 12 100
2 12 101
1 12 102
2 12 103
2 12 104
2 12 105
1 12 106
1 12 107
1 12 108
1 12 109
2 12 110
2 12 111
1 12 112
2 12 113
2 12 114
2 12 115
1 12 116
1 12 117
2 12 118
2 12 119
1 12 120
1 13 14
2 13 15
1 13 16
1 13 17
2 13 18
2 13 19
1 13 20
2 13 21
1 13 22
1 13 23
2 13 24
1 13 25
2 13 26
2 13 27
2 13 28
2 13 29
2 13 30
2 13 31
2 13 32
2 13 33
1 13 34
2 13 35
1 13 36
2 13 37
2 13 38
1 13 39
1 13 40
1 13 41
2 13 42
2 13 43
2 13 44
2 13 45
1 13 46
2 13 47
2 13 48
1 13 49
2 13 50
1 13 51
1 13 52
1 13 53
1 13 54
2 13 55
1 13 56
2 13 57
1 13 58
2 13 59
1 13 60
1 13 61
1 13 62
2 13 63
2 13 64
2 13 65
2 13 66
1 13 67
1 13 68
2 13 69
1 13 70
1 13 71
1 13 72
1 13 73
1 13 74
1 13 75
1 13 76
1 13 77
1 13 78
2 13 79
1 13 80
2 13 81
1 13 82
2 13 83
2 13 84
2 13 85
1 13 86
2 13 87
2 13 88
1 13 89
1 13 90
2 13 91
2 13 92
2 13 93
2 13 94
2 13 95
1 13 96
1 13 97
2 13 98
2 13 99
2 13 100
1 13 101
2 13 102
1 13 103
1 13 104
2 13 105
1 13 106
2 13 107
1 13 108
1 13 109
2 13 110
1 13 111
1 13 112
2 13 113
2 13 115
2 13 116
2 13 117
2 13 118
1 13 119
2 13 120
2 14 15
2 14 16
1 14 17
1 14 18
1 14 19
2 14 20
2 14 21
1 14 22
1 14 23
1 14 24
2 14 25
1 14 26
1 14 27
2 14 28
2 14 29
1 14 30
2 14 31
2 14 32
1 14 33
2 14 34
2 14 35
1 14 36
1 14 37
1 14 38
1 14 39
1 14 40
1 14 41
2 14 42
2 14 43
2 14 44
1 14 45
1 14 47
2 14 48
2 14 49
1 14 50
1 14 51
1 14 52
1 14 53
1 14 54
1 14 55
1 14 56
1 14 57
2 14 59
1 14 60
1 14 61
1 14 62
2 14 63
1 14 64
2 14 65
1 14 66
1 14 67
2 14 68
2 14 69
1 14 70
2 14 71
1 14 72
2 14 73
1 14 74
2 14 75
1 14 76
2 14 77
1 14 78
1 14 79
2 14 80
1 14 81
2 14 82
1 14 83
2 14 84
1 14 85
2 14 86
2 14 87
1 14 88
1 14 89
2 14 90
2 14 91
2 14 92
2 14 93
1 14 94
2 14 95
2 14 96
2 14 97
1 14 98
1 14 99
2 14 100
2 14 101
2 14 102
1 14 103
2 14 104
2 14 105
2 14 106
2 14 107
1 14 108
2 14 109
1 14 110
1 14 111
2 14 112
1 14 113
1 14 114
1 14 115
1 14 116
2 14 117
1 14 118
2 14 119
2 14 120
2 15 16
1 15 17
2 15 18
2 15 19
1 15 20
1 15 21
1 15 22
1 15 23
2 15 24
2 15 25
2 15 26
2 15 27
2 15 28
2 15 29
1 15 30
1 15 31
2 15 32
1 15 33
1 15 34
1 15 35
2 15 36
1 15 37
2 15 38
1 15 39
2 15 40
2 15 41
2 15 42
1 15 43
1 15 44
1 15 45
1 15 46
2 15 47
1 15 48
1 15 49
2 15 50
1 15 52
2 15 53
1 15 54
1 15 55
1 15 56
1 15 57
2 15 58
2 15 59
1 15 60
1 15 61
1 15 62
2 15 63
2 15 64
1 15 65
1 15 66
1 15 67
2 15 68
2 15 69
2 15 70
1 15 71
2 15 72
2 15 73
2 15 74
2 15 75
2 15 76
2 15 77
2 15 78
1 15 79
1 15 80
1 15 81
2 15 83
2 15 84
2 15 85
1 15 86
1 15 87
2 15 88
1 15 89
1 15 90
2 15 91
2 15 92
1 15 93
2 15 94
2 15 95
2 15 96
2 15 97
1 15 98
2 15 99
1 15 100
1 15 101
1 15 102
1 15 103
2 15 104
1 15 105
1 15 106
2 15 107
2 15 108
1 15 109
1 15 110
2 15 111
1 15 112
2 15 113
2 15 114
1 15 115
1 15 116
2 15 117
1 15 118
1 15 119
1 15 120
1 16 17
1 16 18
2 16 19
1 16 20
1 16 21
1 16 22
2 16 23
1 16 24
2 16 26
2 16 27
1 16 28
2 16 29
1 16 30
2 16 31
2 16 32
2 16 33
1 16 34
2 16 35
2 16 36
2 16 37
1 16 38
1 16 39
1 16 40
2 16 41
1 16 42
1 16 43
1 16 44
2 16 45
2 16 46
1 16 47
1 16 48
1 16 49
1 16 50
2 16 51
1 16 52
2 16 53
1 16 54
2 16 55
1 16 56
2 16 57
1 16 58
1 16 59
1 16 60
1 16 61
2 16 62
1 16 63
1 16 64
2 16 65
1 16 66
2 16 67
2 16 68
2 16 69
2 16 70
2 16 71
2 16 72
2 16 73
2 16 74
2 16 75
2 16 76
1 16 77
2 16 78
1 16 79
2 16 80
1 16 81
2 16 82
1 16 83
1 16 84
1 16 85
2 16 86
1 16 87
2 16 88
1 16 89
1 16 90
2 16 91
1 16 92
2 16 93
2 16 94
2 16 95
2 16 97
2 16 98
2 16 99
1 16 100
2 16 101
2 16 102
2 16 103
2 16 104
2 16 105
2 16 106
1 16 107
2 16 108
2 16 109
1 16 110
1 16 111
1 16 112
2 16 113
1 16 114
2 16 115
2 16 116
2 16 117
2 16 118
2 16 119
2 16 120
1 17 18
2 17 19
1 17 20
2 17 21
2 17 22
2 17 23
2 17 24
2 17 25
1 17 26
2 17 27
2 17 28
1 17 29
2 17 30
2 17 31
2 17 32
1 17 33
1 17 34
1 17 35
2 17 36
1 17 37
2 17 38
1 17 39
1 17 40
2 17 41
2 17 42
1 17 43
2 17 44
2 17 45
2 17 46
2 17 47
1 17 48
2 17 49
1 17 51
2 17 52
1 17 53
1 17 54
1 17 55
1 17 56
1 17 57
2 17 58
2 17 59
1 17 60
2 17 61
1 17 63
1 17 64
2 17 65
2 17 66
1 17 67
2 17 68
1 17 69
2 17 70
1 17 71
2 17 72
1 17 73
1 17 74
2 17 75
2 17 76
2 17 77
2 17 78
1 17 79
2 17 80
2 17 81
1 17 82
1 17 83
1 17 84
2 17 85
2 17 86
2 17 87
1 17 88
1 17 89
2 17 90
1 17 91
1 17 92
1 17 93
2 17 94
1 17 95
1 17 96
2 17 97
1 17 98
1 17 99
1 17 100
2 17 101
2 17 102
1 17 103
1 17 104
2 17 105
2 17 106
2 17 107
1 17 108
1 17 109
2 17 110
2 17 111
2 17 112
2 17 113
1 17 114
2 17 115
1 17 116
1 17 117
2 17 118
1 17 119
1 17 120
1 18 19
1 18 20
2 18 21
2 18 22
2 18 23
2 18 24
2 18 25
2 18 26
1 18 27
1 18 28
2 18 29
1 18 30
1 18 31
1 18 32
2 18 33
2 18 34
2 18 35
1 18 36
2 18 37
1 18 38
1 18 39
1 18 40
2 18 41
1 18 42
1 18 43
1 18 44
2 18 45
1 18 46
1 18 47
1 18 48
2 18 49
2 18 50
1 18 51
1 18 52
1 18 53
2 18 54
1 18 55
1 18 56
2 18 57
1 18 58
2 18 59
2 18 60
2 18 61
1 18 62
1 18 63
1 18 64
1 18 65
2 18 66
1 18 67
1 18 68
2 18 69
1 18 70
1 18 71
2 18 72
1 18 73
2 18 74
1 18 75
1 18 76
1 18 77
2 18 78
2 18 79
1 18 80
1 18 81
1 18 82
2 18 83
1 18 84
2 18 85
1 18 86
1 18 87
1 18 88
2 18 89
1 18 90
1 18 91
1 18 92
1 18 93
1 18 94
1 18 95
2 18 97
2 18 98
2 18 99
1 18 100
2 18 101
2 18 102
2 18 103
2 18 104
2 18 105
2 18 107
2 18 108
1 18 109
1 18 110
2 18 111
1 18 112
2 18 113
2 18 114
1 18 115
1 18 116
1 18 117
1 18 118
1 18 119
2 18 120
2 19 20
2 19 21
1 19 22
1 19 23
2 19 24
1 19 25
2 19 26
1 19 27
2 19 28
1 19 29
2 19 30
2 19 32
1 19 33
2 19 34
2 19 35
1 19 36
2 19 37
1 19 38
2 19 39
2 19 40
1 19 41
1 19 42
2 19 43
1 19 44
1 19 45
1 19 46
1 19 47
2 19 48
1 19 49
1 19 50
2 19 51
2 19 52
1 19 53
2 19 54
1 19 55
2 19 56
2 19 57
2 19 58
1 19 59
2 19 60
2 19 61
2 19 62
2 19 63
2 19 64
2 19 65
2 19 67
2 19 68
1 19 69
1 19 70
1 19 71
2 19 72
1 19 73
1 19 74
2 19 75
1 19 76
1 19 77
1 19 78
2 19 79
2 19 80
1 19 81
2 19 82
1 19 83
2 19 84
2 19 85
2 19 86
1 19 87
2 19 88
1 19 89
1 19 90
1 19 91
1 19 92
1 19 93
2 19 94
1 19 95
2 19 96
1 19 97
2 19 98
2 19 99
2 19 100
1 19 101
1 19 102
1 19 103
2 19 104
1 19 105
1 19 106
2 19 107
1 19 108
1 19 109
1 19 110
1 19 111
1 19 112
1 19 113
1 19 114
2 19 115
1 19 116
2 19 117
2 19 118
2 19 119
1 19 120
1 20 21
1 20 22
1 20 23
1 20 24
1 20 25
1 20 26
1 20 27
2 20 28
1 20 29
2 20 30
2 20 31
1 20 32
1 20 33
1 20 34
1 20 35
1 20 36
1 20 37
2 20 38
2 20 39
1 20 40
2 20 42
2 20 43
2 20 44
1 20 45
2 20 46
1 20 47
1 20 48
1 20 49
2 20 50
1 20 51
2 20 52
2 20 53
2 20 54
1 20 55
2 20 56
1 20 57
1 20 58
2 20 59
2 20 60
2 20 61
2 20 62
1 20 63
2 20 64
2 20 65
1 20 66
1 20 67
2 20 68
2 20 69
2 20 70
1 20 71
1 20 72
1 20 73
2 20 74
1 20 75
2 20 76
1 20 77
1 20 78
1 20 79
1 20 80
1 20 81
1 20 82
1 20 83
1 20 84
2 20 85
1 20 86
1 20 87
1 20 88
2 20 89
1 20 90
1 20 91
2 20 92
1 20 93
1 20 94
2 20 95
1 20 96
1 20 98
1 20 99
2 20 100
1 20 101
1 20 102
1 20 103
2 20 104
1 20 105
1 20 106
2 20 107
1 20 108
2 20 109
2 20 110
2 20 111
2 20 112
2 20 113
1 20 114
2 20 115
2 20 116
2 20 117
2 20 118
2 20 119
1 20 120
1 21 22
2 21 23
2 21 24
1 21 25
2 21 26
1 21 27
1 21 28
2 21 29
2 21 30
2 21 31
2 21 32
1 21 33
2 21 34
1 21 35
1 21 36
1 21 37
1 21 38
2 21 39
2 21 40
2 21 41
2 21 42
1 21 43
2 21 44
2 21 45
2 21 46
1 21 47
2 21 48
1 21 49
2 21 50
2 21 51
2 21 52
2 21 53
1 21 54
2 21 55
1 21 57
1 21 58
2 21 59
1 21 60
2 21 62
2 21 63
1 21 64
2 21 65
2 21 66
1 21 67
2 21 68
1 21 69
2 21 70
1 21 71
1 21 72
1 21 73
1 21 74
2 21 75
2 21 76
1 21 77
2 21 78
1 21 79
1 21 80
1 21 81
2 21 82
